2026-07-18 22:13:49,729 | INFO | Starting Data Validation Pipeline Test
2026-07-18 22:13:49,729 | INFO | ================================================================================
2026-07-18 22:13:49,729 | INFO | DATA VALIDATION PIPELINE STARTED
2026-07-18 22:13:49,729 | INFO | ================================================================================
2026-07-18 22:13:49,732 | INFO | Starting validation for movies
2026-07-18 22:13:50,069 | INFO | Validation completed for movies: PASS (4/4 checks passed)
2026-07-18 22:13:50,075 | INFO | Starting validation for ratings
2026-07-18 22:13:50,221 | INFO | Validation completed for ratings: PASS (5/5 checks passed)
2026-07-18 22:13:50,227 | INFO | Starting validation for links
2026-07-18 22:13:50,288 | INFO | Validation completed for links: FAIL (2/4 checks passed)
2026-07-18 22:13:50,288 | INFO | Starting validation for tags
2026-07-18 22:13:50,308 | INFO | Validation completed for tags: PASS (4/4 checks passed)
2026-07-18 22:13:50,308 | INFO | ================================================================================
2026-07-18 22:13:50,308 | INFO | VALIDATION PHASE COMPLETED
2026-07-18 22:13:50,308 | INFO | ================================================================================
2026-07-18 22:13:50,308 | INFO | ================================================================================
2026-07-18 22:13:50,308 | INFO | DATA PROFILING PHASE STARTED
2026-07-18 22:13:50,308 | INFO | ================================================================================
2026-07-18 22:13:50,311 | INFO | Profiling dataset: movies
2026-07-18 22:13:50,405 | INFO | Profile generated for movies
2026-07-18 22:13:50,405 | INFO | Profiling dataset: ratings
2026-07-18 22:13:50,591 | INFO | Profile generated for ratings
2026-07-18 22:13:50,591 | INFO | Profiling dataset: links
2026-07-18 22:13:50,613 | INFO | Profile generated for links
2026-07-18 22:13:50,613 | INFO | Profiling dataset: tags
2026-07-18 22:13:50,647 | INFO | Profile generated for tags
2026-07-18 22:13:50,647 | INFO | ================================================================================
2026-07-18 22:13:50,647 | INFO | DATA PROFILING PHASE COMPLETED
2026-07-18 22:13:50,647 | INFO | ================================================================================
2026-07-18 22:13:50,647 | INFO | ================================================================================
2026-07-18 22:13:50,647 | INFO | REPORT GENERATION STARTED
2026-07-18 22:13:50,647 | INFO | ================================================================================
2026-07-18 22:13:50,647 | ERROR | reportlab not installed. Install with: pip install reportlab
